FIPS,ST,County,ObesityPct
00006,CA,California,25.5
00009,CT,Connecticut,28.6
00015,HI,Hawaii,18
00021,KY,Kentucky,25.6
00038,ND,North Dakota,33.3
00049,UT,Utah,31.1
00056,WY,Wyoming,34.2
00010,DE,Delaware,28.3
00012,FL,Florida,24.5
00011,DC,District of Columbia,23.2
00009,CT,Connecticut,15.5
00008,CO,Colorado,14.3
00004,AZ,Arizona,33.8
00008,CO,Colorado,30.2
00013,GA,Georgia,32.3
00012,FL,Florida,36.7
00011,DC,District of Columbia,11.6
00006,CA,California,20.1
00005,AR,Arkansas,32.3
00008,CO,Colorado,25
00001,AL,Alabama,33.4
00012,FL,Florida,19.7
00008,CO,Colorado,24.9
00001,AL,Alabama,39.4
00005,AR,Arkansas,35.3
00005,AR,Arkansas,
00002,AK,Alaska,37.2
00066,GU,Guam,32.7
00011,DC,District of Columbia,16.2
00004,AZ,Arizona,38.4
00010,DE,Delaware,
00015,HI,Hawaii,25.9
00004,AZ,Arizona,26.1
00009,CT,Connecticut,
00009,CT,Connecticut,38.4
00013,GA,Georgia,
00010,DE,Delaware,35.4
00066,GU,Guam,25.7
00015,HI,Hawaii,14.3
00011,DC,District of Columbia,15.1
00002,AK,Alaska,21.9
00066,GU,Guam,29.9
00002,AK,Alaska,24.2
00009,CT,Connecticut,30.4
00002,AK,Alaska,31.2
00011,DC,District of Columbia,26.4
00013,GA,Georgia,24.6
00001,AL,Alabama,29.1
00015,HI,Hawaii,17.8
00004,AZ,Arizona,26.5
00011,DC,District of Columbia,13.8
00066,GU,Guam,19.1
00066,GU,Guam,27.3
00066,GU,Guam,36.1
00001,AL,Alabama,30
00013,GA,Georgia,17.2
00009,CT,Connecticut,
00012,FL,Florida,21.6
00011,DC,District of Columbia,14.3
00002,AK,Alaska,24.8
00002,AK,Alaska,
00002,AK,Alaska,
00004,AZ,Arizona,43.5
00066,GU,Guam,32.6
00012,FL,Florida,25.4
00001,AL,Alabama,37.4
00009,CT,Connecticut,33.7
00001,AL,Alabama,35.8
00066,GU,Guam,23.7
00006,CA,California,25.9
00004,AZ,Arizona,21.2
00004,AZ,Arizona,29.7
00008,CO,Colorado,16.8
00012,FL,Florida,22.2
00009,CT,Connecticut,28.9
00002,AK,Alaska,33.5
00004,AZ,Arizona,47.9
00006,CA,California,23
00066,GU,Guam,41.2
00010,DE,Delaware,24.1
00008,CO,Colorado,15.8
00013,GA,Georgia,34.8
00005,AR,Arkansas,36.5
00011,DC,District of Columbia,25.7
00001,AL,Alabama,44.7
00002,AK,Alaska,19.2
00009,CT,Connecticut,
00010,DE,Delaware,20.7
00008,CO,Colorado,12.8
00012,FL,Florida,30.8
00002,AK,Alaska,32.1
00012,FL,Florida,31.6
00002,AK,Alaska,35.3
00015,HI,Hawaii,
00013,GA,Georgia,18.8
00002,AK,Alaska,24.2
00066,GU,Guam,
00008,CO,Colorado,39.2
00004,AZ,Arizona,
00012,FL,Florida,29.1
00013,GA,Georgia,
00011,DC,District of Columbia,12.6
00013,GA,Georgia,34.1
00005,AR,Arkansas,39.8
00011,DC,District of Columbia,
00011,DC,District of Columbia,18.3
00015,HI,Hawaii,24.8
00012,FL,Florida,29.1
00010,DE,Delaware,37.9
00002,AK,Alaska,36.2
00012,FL,Florida,
00012,FL,Florida,35.2
00010,DE,Delaware,35
00013,GA,Georgia,45.7
00013,GA,Georgia,45.3
00005,AR,Arkansas,37.4
00002,AK,Alaska,31.3
00011,DC,District of Columbia,33.5
00066,GU,Guam,19.4
00008,CO,Colorado,22.2
00006,CA,California,12.5
00006,CA,California,27.8
00004,AZ,Arizona,20.2
00010,DE,Delaware,26.5
00010,DE,Delaware,35.3
00002,AK,Alaska,18.2
00006,CA,California,31.2
00008,CO,Colorado,13.3
00011,DC,District of Columbia,26.4
00012,FL,Florida,37.6
00013,GA,Georgia,24
00008,CO,Colorado,20.9
00013,GA,Georgia,31.9
00002,AK,Alaska,16.5
00005,AR,Arkansas,30.3
00015,HI,Hawaii,24.6
00005,AR,Arkansas,34.5
00010,DE,Delaware,30.2
00008,CO,Colorado,17.8
00006,CA,California,17.9
00004,AZ,Arizona,18
00009,CT,Connecticut,30.1
00006,CA,California,17.2
00010,DE,Delaware,
00001,AL,Alabama,
00006,CA,California,25.8
00006,CA,California,28.6
00006,CA,California,28.4
00011,DC,District of Columbia,27
00001,AL,Alabama,35.8
00013,GA,Georgia,36.3
00004,AZ,Arizona,17
00015,HI,Hawaii,29.7
00011,DC,District of Columbia,
00009,CT,Connecticut,34.3
00011,DC,District of Columbia,
00009,CT,Connecticut,37.1
00011,DC,District of Columbia,5.1
00004,AZ,Arizona,39.6
00001,AL,Alabama,35.1
00009,CT,Connecticut,22.1
00005,AR,Arkansas,36.2
00066,GU,Guam,28
00004,AZ,Arizona,23.4
00010,DE,Delaware,
00006,CA,California,23.6
00004,AZ,Arizona,32.7
00001,AL,Alabama,21.6
00001,AL,Alabama,34.2
00015,HI,Hawaii,
00006,CA,California,38.6
00006,CA,California,19.9
00001,AL,Alabama,31.6
00015,HI,Hawaii,18.8
00008,CO,Colorado,28
00066,GU,Guam,35.8
00004,AZ,Arizona,33.2
00006,CA,California,27.7
00002,AK,Alaska,27.1
00009,CT,Connecticut,26.5
00015,HI,Hawaii,
00008,CO,Colorado,25.2
00010,DE,Delaware,40.1
00012,FL,Florida,40.9
00002,AK,Alaska,29.7
00012,FL,Florida,32.4
00010,DE,Delaware,
00004,AZ,Arizona,28.7
00006,CA,California,26
00013,GA,Georgia,41.1
00066,GU,Guam,35.2
00012,FL,Florida,29.2
00010,DE,Delaware,35.3
00013,GA,Georgia,34.1
00009,CT,Connecticut,30.8
00006,CA,California,18
00005,AR,Arkansas,
00001,AL,Alabama,
00006,CA,California,42.4
00009,CT,Connecticut,26.5
00010,DE,Delaware,43.1
00015,HI,Hawaii,17.9
00005,AR,Arkansas,27.6
00013,GA,Georgia,27.3
00005,AR,Arkansas,24.1
00009,CT,Connecticut,
00012,FL,Florida,
00004,AZ,Arizona,41.5
00005,AR,Arkansas,43.8
00011,DC,District of Columbia,20.5
00012,FL,Florida,28.8
00011,DC,District of Columbia,17.6
00002,AK,Alaska,33.4
00005,AR,Arkansas,
00008,CO,Colorado,23.9
00004,AZ,Arizona,
00008,CO,Colorado,29
00012,FL,Florida,24.4
00013,GA,Georgia,17.3
00006,CA,California,27.2
00010,DE,Delaware,
00001,AL,Alabama,
00005,AR,Arkansas,18.7
00001,AL,Alabama,36.2
00010,DE,Delaware,26.6
00005,AR,Arkansas,39.5
00066,GU,Guam,36.6
00004,AZ,Arizona,26.9
00066,GU,Guam,23.5
00011,DC,District of Columbia,10.9
00012,FL,Florida,
00009,CT,Connecticut,30.6
00011,DC,District of Columbia,21.5
00066,GU,Guam,41
00005,AR,Arkansas,40.7
00009,CT,Connecticut,13.4
00001,AL,Alabama,24.9
00015,HI,Hawaii,17.5
00010,DE,Delaware,23.5
00009,CT,Connecticut,19.9
00004,AZ,Arizona,
00006,CA,California,36
00015,HI,Hawaii,28.1
00001,AL,Alabama,23.4
00001,AL,Alabama,38.3
00011,DC,District of Columbia,39.2
00002,AK,Alaska,28
00011,DC,District of Columbia,
00004,AZ,Arizona,30.4
00066,GU,Guam,
00001,AL,Alabama,30.8
00010,DE,Delaware,28.6
00008,CO,Colorado,19.5
00008,CO,Colorado,15.8
00010,DE,Delaware,40.5
00002,AK,Alaska,27.6
00001,AL,Alabama,
00008,CO,Colorado,14.7
00006,CA,California,21.9
00006,CA,California,19.3
00005,AR,Arkansas,
00009,CT,Connecticut,28.8
00012,FL,Florida,26.5
00066,GU,Guam,45.9
00008,CO,Colorado,24.1
00005,AR,Arkansas,43.3
00066,GU,Guam,
00004,AZ,Arizona,31.4
00009,CT,Connecticut,20.3
00006,CA,California,28.1
00010,DE,Delaware,20.1
00066,GU,Guam,27.9
00013,GA,Georgia,38.3
00008,CO,Colorado,17.3
00008,CO,Colorado,
00013,GA,Georgia,17.9
00015,HI,Hawaii,20.6
00015,HI,Hawaii,28.9
00002,AK,Alaska,33.3
00015,HI,Hawaii,23.9
00009,CT,Connecticut,23.1
00005,AR,Arkansas,34.9
00004,AZ,Arizona,19.3
00002,AK,Alaska,17.6
00011,DC,District of Columbia,
00012,FL,Florida,29.3
00013,GA,Georgia,23.4
00009,CT,Connecticut,19.5
00008,CO,Colorado,24.2
00013,GA,Georgia,23.8
00012,FL,Florida,26.6
00001,AL,Alabama,50.2
00002,AK,Alaska,36.6
00011,DC,District of Columbia,
00004,AZ,Arizona,29.4
00009,CT,Connecticut,
00001,AL,Alabama,29.1
00005,AR,Arkansas,30.6
00066,GU,Guam,23.1
00010,DE,Delaware,
00015,HI,Hawaii,21.3
00066,GU,Guam,44.5
00005,AR,Arkansas,39.4
00010,DE,Delaware,35.7
00008,CO,Colorado,
00013,GA,Georgia,28.8
00009,CT,Connecticut,33.6
00011,DC,District of Columbia,24.3
00012,FL,Florida,22.7
00013,GA,Georgia,20
00015,HI,Hawaii,24.7
00005,AR,Arkansas,31.1
00002,AK,Alaska,21.5
00006,CA,California,18.2
00001,AL,Alabama,40.6
00004,AZ,Arizona,17.8
00010,DE,Delaware,49.2
00006,CA,California,26.6
00066,GU,Guam,16
00005,AR,Arkansas,32.7
00008,CO,Colorado,30.3
00001,AL,Alabama,34.9
00005,AR,Arkansas,39.7
00001,AL,Alabama,34.7
00002,AK,Alaska,30.7
00012,FL,Florida,29.8
00010,DE,Delaware,20
00066,GU,Guam,
00066,GU,Guam,
00013,GA,Georgia,37
00013,GA,Georgia,39.9
00005,AR,Arkansas,39.5
00013,GA,Georgia,
00008,CO,Colorado,11.7
00012,FL,Florida,29.6
00022,LA,Louisiana,37.4
00024,MD,Maryland,33.8
00016,ID,Idaho,45.9
00021,KY,Kentucky,32.4
00025,MA,Massachusetts,18.6
00020,KS,Kansas,39.5
00028,MS,Mississippi,
00032,NV,Nevada,
00025,MA,Massachusetts,
00022,LA,Louisiana,26.2
00018,IN,Indiana,43.3
00030,MT,Montana,19.3
00024,MD,Maryland,19.5
00029,MO,Missouri,35.7
00020,KS,Kansas,25.2
00017,IL,Illinois,
00025,MA,Massachusetts,21.3
00028,MS,Mississippi,
00023,ME,Maine,27
00017,IL,Illinois,33.3
00027,MN,Minnesota,20.5
00023,ME,Maine,15.6
00029,MO,Missouri,
00025,MA,Massachusetts,30.7
00027,MN,Minnesota,17.8
00015,HI,Hawaii,32
00017,IL,Illinois,31.1
00022,LA,Louisiana,37.3
00022,LA,Louisiana,37.6
00023,ME,Maine,28.4
00031,NE,Nebraska,42
00019,IA,Iowa,25.9
00020,KS,Kansas,25.4
00026,MI,Michigan,33.4
00026,MI,Michigan,39.5
00016,ID,Idaho,20.8
00018,IN,Indiana,42.4
00032,NV,Nevada,36
00030,MT,Montana,30.5
00021,KY,Kentucky,25.7
00016,ID,Idaho,
00020,KS,Kansas,
00022,LA,Louisiana,45
00030,MT,Montana,
00032,NV,Nevada,27.8
00020,KS,Kansas,31.5
00019,IA,Iowa,35.1
00029,MO,Missouri,
00018,IN,Indiana,
00027,MN,Minnesota,34.6
00030,MT,Montana,
00016,ID,Idaho,22.6
00027,MN,Minnesota,
00017,IL,Illinois,20.6
00031,NE,Nebraska,23.2
00028,MS,Mississippi,29.8
00023,ME,Maine,33.1
00018,IN,Indiana,27.5
00019,IA,Iowa,19.7
00015,HI,Hawaii,27.1
00024,MD,Maryland,
00021,KY,Kentucky,
00031,NE,Nebraska,30.7
00024,MD,Maryland,33.2
00018,IN,Indiana,38.7
00026,MI,Michigan,26.9
00032,NV,Nevada,23.5
00025,MA,Massachusetts,26.5
00032,NV,Nevada,30.8
00028,MS,Mississippi,28.1
00023,ME,Maine,22.4
00021,KY,Kentucky,37.7
00018,IN,Indiana,21.5
00028,MS,Mississippi,31.9
00023,ME,Maine,32.6
00017,IL,Illinois,20.7
00028,MS,Mississippi,41.9
00031,NE,Nebraska,35.2
00027,MN,Minnesota,30.5
00019,IA,Iowa,24.5
00029,MO,Missouri,36.2
00019,IA,Iowa,35.8
00022,LA,Louisiana,39
00025,MA,Massachusetts,10.4
00032,NV,Nevada,24
00024,MD,Maryland,28.7
00029,MO,Missouri,23.2
00017,IL,Illinois,30.7
00026,MI,Michigan,33.4
00026,MI,Michigan,34
00021,KY,Kentucky,43.7
00016,ID,Idaho,33.2
00016,ID,Idaho,32.8
00031,NE,Nebraska,24.5
00029,MO,Missouri,27.3
00020,KS,Kansas,11
00020,KS,Kansas,27.6
00021,KY,Kentucky,
00028,MS,Mississippi,
00029,MO,Missouri,33.3
00028,MS,Mississippi,39.5
00027,MN,Minnesota,32.6
00022,LA,Louisiana,32.1
00017,IL,Illinois,
00032,NV,Nevada,26.1
00020,KS,Kansas,20.9
00019,IA,Iowa,38.4
00026,MI,Michigan,26.1
00030,MT,Montana,14.4
00022,LA,Louisiana,32.2
00017,IL,Illinois,27.6
00031,NE,Nebraska,34.6
00029,MO,Missouri,
00020,KS,Kansas,35.6
00023,ME,Maine,22.2
00027,MN,Minnesota,20.4
00017,IL,Illinois,28.8
00027,MN,Minnesota,22.1
00023,ME,Maine,38.6
00032,NV,Nevada,29.9
00016,ID,Idaho,
00029,MO,Missouri,19.1
00024,MD,Maryland,17.6
00030,MT,Montana,26.2
00031,NE,Nebraska,35.4
00020,KS,Kansas,21.6
00030,MT,Montana,36.4
00017,IL,Illinois,31
00018,IN,Indiana,28.7
00027,MN,Minnesota,18.9
00029,MO,Missouri,29.2
00018,IN,Indiana,37.7
00016,ID,Idaho,33.4
00022,LA,Louisiana,37.8
00025,MA,Massachusetts,
00021,KY,Kentucky,36.7
00019,IA,Iowa,28.5
00025,MA,Massachusetts,21.1
00017,IL,Illinois,
00028,MS,Mississippi,45.4
00023,ME,Maine,47.3
00018,IN,Indiana,
00019,IA,Iowa,38.6
00021,KY,Kentucky,18
00020,KS,Kansas,25.8
00024,MD,Maryland,42
00032,NV,Nevada,34.3
00024,MD,Maryland,30.7
00026,MI,Michigan,9.6
00022,LA,Louisiana,32.8
00020,KS,Kansas,37.6
00025,MA,Massachusetts,27.6
00032,NV,Nevada,31.9
00032,NV,Nevada,
00017,IL,Illinois,45
00022,LA,Louisiana,
00017,IL,Illinois,35.7
00025,MA,Massachusetts,32.3
00026,MI,Michigan,
00017,IL,Illinois,19.4
00029,MO,Missouri,42
00027,MN,Minnesota,44.8
00019,IA,Iowa,37.9
00022,LA,Louisiana,40.1
00023,ME,Maine,23.2
00023,ME,Maine,24.5
00019,IA,Iowa,
00020,KS,Kansas,35.4
00015,HI,Hawaii,18.2
00026,MI,Michigan,34.4
00021,KY,Kentucky,34.3
00031,NE,Nebraska,27.9
00019,IA,Iowa,34.7
00026,MI,Michigan,34.5
00031,NE,Nebraska,
00020,KS,Kansas,39.6
00032,NV,Nevada,36.9
00021,KY,Kentucky,42
00031,NE,Nebraska,31.8
00022,LA,Louisiana,35.1
00028,MS,Mississippi,
00018,IN,Indiana,26.4
00024,MD,Maryland,38.5
00025,MA,Massachusetts,19.6
00021,KY,Kentucky,
00031,NE,Nebraska,
00026,MI,Michigan,18.4
00027,MN,Minnesota,46
00019,IA,Iowa,32.1
00029,MO,Missouri,33.6
00029,MO,Missouri,25.8
00023,ME,Maine,
00019,IA,Iowa,
00017,IL,Illinois,16.4
00028,MS,Mississippi,24.2
00020,KS,Kansas,34.7
00017,IL,Illinois,39.9
00019,IA,Iowa,26.4
00031,NE,Nebraska,26.5
00030,MT,Montana,24.1
00015,HI,Hawaii,33.1
00019,IA,Iowa,
00029,MO,Missouri,35.2
00016,ID,Idaho,37.9
00023,ME,Maine,46.5
00025,MA,Massachusetts,17.7
00028,MS,Mississippi,
00018,IN,Indiana,36
00018,IN,Indiana,29.3
00017,IL,Illinois,41.8
00024,MD,Maryland,18
00016,ID,Idaho,27.1
00018,IN,Indiana,24.1
00023,ME,Maine,32.4
00030,MT,Montana,29.5
00031,NE,Nebraska,20.9
00030,MT,Montana,28.1
00028,MS,Mississippi,37
00027,MN,Minnesota,39.3
00025,MA,Massachusetts,18.9
00027,MN,Minnesota,19
00021,KY,Kentucky,
00029,MO,Missouri,32.5
00026,MI,Michigan,23
00023,ME,Maine,
00017,IL,Illinois,22.8
00029,MO,Missouri,27.3
00022,LA,Louisiana,20.8
00023,ME,Maine,
00026,MI,Michigan,26.4
00031,NE,Nebraska,26.2
00023,ME,Maine,38.7
00029,MO,Missouri,34.3
00019,IA,Iowa,23.3
00017,IL,Illinois,28.3
00026,MI,Michigan,31.8
00019,IA,Iowa,37.4
00027,MN,Minnesota,36.5
00030,MT,Montana,
00027,MN,Minnesota,31
00031,NE,Nebraska,28.6
00025,MA,Massachusetts,28
00032,NV,Nevada,23.2
00028,MS,Mississippi,26.9
00019,IA,Iowa,35
00032,NV,Nevada,28.7
00031,NE,Nebraska,35.3
00015,HI,Hawaii,24.6
00025,MA,Massachusetts,
00024,MD,Maryland,21.1
00021,KY,Kentucky,33.7
00016,ID,Idaho,
00020,KS,Kansas,39.2
00016,ID,Idaho,31.3
00018,IN,Indiana,32.4
00030,MT,Montana,
00032,NV,Nevada,29.2
00028,MS,Mississippi,35.3
00025,MA,Massachusetts,23.6
00022,LA,Louisiana,45.5
00019,IA,Iowa,43.1
00019,IA,Iowa,43.2
00016,ID,Idaho,21.5
00018,IN,Indiana,30.8
00023,ME,Maine,33.6
00025,MA,Massachusetts,27.5
00017,IL,Illinois,
00024,MD,Maryland,30
00032,NV,Nevada,31.8
00015,HI,Hawaii,38.7
00027,MN,Minnesota,17.4
00026,MI,Michigan,37.5
00023,ME,Maine,22.6
00024,MD,Maryland,38.8
00027,MN,Minnesota,
00026,MI,Michigan,35.6
00024,MD,Maryland,14.5
00016,ID,Idaho,36.2
00024,MD,Maryland,32
00025,MA,Massachusetts,23.7
00020,KS,Kansas,23.3
00024,MD,Maryland,
00032,NV,Nevada,28.7
00032,NV,Nevada,
00025,MA,Massachusetts,28.6
00018,IN,Indiana,25.8
00018,IN,Indiana,40.7
00029,MO,Missouri,42.9
00030,MT,Montana,19.6
00028,MS,Mississippi,37.3
00027,MN,Minnesota,33.6
00016,ID,Idaho,27.5
00028,MS,Mississippi,47.6
00022,LA,Louisiana,38.4
00019,IA,Iowa,
00015,HI,Hawaii,48.9
00020,KS,Kansas,36.8
00026,MI,Michigan,42.7
00029,MO,Missouri,37.2
00022,LA,Louisiana,17.9
00028,MS,Mississippi,
00022,LA,Louisiana,42.5
00024,MD,Maryland,23.4
00021,KY,Kentucky,41.6
00031,NE,Nebraska,
00016,ID,Idaho,23.9
00024,MD,Maryland,12.2
00030,MT,Montana,28.7
00025,MA,Massachusetts,30.6
00021,KY,Kentucky,38.7
00016,ID,Idaho,
00022,LA,Louisiana,47.1
00021,KY,Kentucky,36.7
00025,MA,Massachusetts,27.2
00016,ID,Idaho,33
00029,MO,Missouri,30.6
00031,NE,Nebraska,24.7
00029,MO,Missouri,25.3
00020,KS,Kansas,
00030,MT,Montana,
00019,IA,Iowa,20.7
00030,MT,Montana,30.8
00026,MI,Michigan,30.9
00032,NV,Nevada,34.5
00028,MS,Mississippi,35.2
00019,IA,Iowa,25.4
00026,MI,Michigan,28.2
00028,MS,Mississippi,36.7
00031,NE,Nebraska,41.1
00018,IN,Indiana,23.9
00023,ME,Maine,31.8
00027,MN,Minnesota,31.2
00022,LA,Louisiana,38.8
00019,IA,Iowa,36.3
00032,NV,Nevada,
00025,MA,Massachusetts,37.9
00016,ID,Idaho,
00030,MT,Montana,38.6
00030,MT,Montana,19.4
00031,NE,Nebraska,36
00021,KY,Kentucky,37.4
00026,MI,Michigan,23.9
00023,ME,Maine,29.8
00018,IN,Indiana,31.6
00028,MS,Mississippi,37.8
00018,IN,Indiana,36.5
00031,NE,Nebraska,37.4
00023,ME,Maine,21.9
00020,KS,Kansas,20.8
00029,MO,Missouri,36.4
00023,ME,Maine,42.6
00025,MA,Massachusetts,19.6
00021,KY,Kentucky,26.4
00019,IA,Iowa,39.1
00027,MN,Minnesota,19.1
00026,MI,Michigan,31.4
00030,MT,Montana,17.9
00032,NV,Nevada,27
00021,KY,Kentucky,
00032,NV,Nevada,35.3
00022,LA,Louisiana,18.7
00024,MD,Maryland,24.1
00024,MD,Maryland,21.2
00028,MS,Mississippi,
00025,MA,Massachusetts,23
00031,NE,Nebraska,36
00018,IN,Indiana,38
00027,MN,Minnesota,32
00030,MT,Montana,35.2
00023,ME,Maine,41.2
00020,KS,Kansas,22.8
00026,MI,Michigan,21.3
00017,IL,Illinois,38.9
00026,MI,Michigan,25.3
00016,ID,Idaho,28.2
00016,ID,Idaho,17.9
00028,MS,Mississippi,
00018,IN,Indiana,35.1
