FIPS,ST,County,DiabetesPct
00066,GU,Guam,47
00004,AZ,Arizona,11.5
00006,CA,California,13.6
00002,AK,Alaska,8.7
00001,AL,Alabama,28.6
00004,AZ,Arizona,15.5
00012,FL,Florida,2.6
00008,CO,Colorado,8.1
00011,DC,District of Columbia,1.9
00001,AL,Alabama,14.8
00013,GA,Georgia,2.8
00008,CO,Colorado,14.2
00004,AZ,Arizona,12.7
00005,AR,Arkansas,
00010,DE,Delaware,19.7
00005,AR,Arkansas,
00010,DE,Delaware,15
00002,AK,Alaska,17
00001,AL,Alabama,15.5
00012,FL,Florida,12.2
00015,HI,Hawaii,9.7
00009,CT,Connecticut,13.2
00066,GU,Guam,23
00015,HI,Hawaii,4.6
00006,CA,California,11.4
00006,CA,California,25.2
00008,CO,Colorado,
00066,GU,Guam,
00001,AL,Alabama,4.1
00004,AZ,Arizona,23.4
00015,HI,Hawaii,11.7
00009,CT,Connecticut,9.3
00011,DC,District of Columbia,15.6
00013,GA,Georgia,13.7
00010,DE,Delaware,12.9
00011,DC,District of Columbia,
00015,HI,Hawaii,12.6
00006,CA,California,25.6
00002,AK,Alaska,6.6
00004,AZ,Arizona,11.7
00005,AR,Arkansas,28.2
00012,FL,Florida,
00001,AL,Alabama,
00010,DE,Delaware,
00015,HI,Hawaii,15.6
00001,AL,Alabama,
00013,GA,Georgia,
00011,DC,District of Columbia,3
00010,DE,Delaware,
00002,AK,Alaska,8.7
00008,CO,Colorado,
00011,DC,District of Columbia,19.3
00015,HI,Hawaii,5.4
00006,CA,California,11.4
00013,GA,Georgia,12.1
00001,AL,Alabama,18.8
00008,CO,Colorado,6.9
00009,CT,Connecticut,10.7
00008,CO,Colorado,
00009,CT,Connecticut,
00002,AK,Alaska,8.2
00013,GA,Georgia,11.6
00006,CA,California,12.4
00008,CO,Colorado,17.5
00009,CT,Connecticut,
00015,HI,Hawaii,20.3
00009,CT,Connecticut,20.2
00002,AK,Alaska,11.8
00013,GA,Georgia,11
00066,GU,Guam,
00011,DC,District of Columbia,7.9
00010,DE,Delaware,12.8
00066,GU,Guam,21.6
00066,GU,Guam,26.1
00009,CT,Connecticut,9.7
00066,GU,Guam,19
00005,AR,Arkansas,16.1
00010,DE,Delaware,13.9
00011,DC,District of Columbia,8
00008,CO,Colorado,8.8
00010,DE,Delaware,8.2
00009,CT,Connecticut,11.6
00005,AR,Arkansas,15.7
00004,AZ,Arizona,
00005,AR,Arkansas,15.4
00066,GU,Guam,26.1
00012,FL,Florida,
00012,FL,Florida,
00066,GU,Guam,20.2
00009,CT,Connecticut,15.1
00011,DC,District of Columbia,8.1
00002,AK,Alaska,7.8
00013,GA,Georgia,25.8
00005,AR,Arkansas,20
00008,CO,Colorado,2.6
00006,CA,California,11.1
00012,FL,Florida,14
00013,GA,Georgia,
00004,AZ,Arizona,11.1
00002,AK,Alaska,10.9
00001,AL,Alabama,
00015,HI,Hawaii,9.5
00002,AK,Alaska,8.7
00004,AZ,Arizona,
00002,AK,Alaska,7.6
00002,AK,Alaska,2.9
00004,AZ,Arizona,4.1
00011,DC,District of Columbia,
00008,CO,Colorado,
00004,AZ,Arizona,18.4
00004,AZ,Arizona,14
00011,DC,District of Columbia,
00066,GU,Guam,30.6
00010,DE,Delaware,23.8
00004,AZ,Arizona,
00009,CT,Connecticut,2.9
00012,FL,Florida,
00012,FL,Florida,18.9
00001,AL,Alabama,
00005,AR,Arkansas,15.6
00005,AR,Arkansas,21.2
00009,CT,Connecticut,
00009,CT,Connecticut,10
00015,HI,Hawaii,10.9
00006,CA,California,14.7
00012,FL,Florida,11.5
00066,GU,Guam,
00005,AR,Arkansas,9
00008,CO,Colorado,10.7
00013,GA,Georgia,11.5
00015,HI,Hawaii,
00011,DC,District of Columbia,14.8
00013,GA,Georgia,16.9
00008,CO,Colorado,10.6
00010,DE,Delaware,
00015,HI,Hawaii,14.8
00012,FL,Florida,10.5
00012,FL,Florida,13.2
00012,FL,Florida,25.2
00001,AL,Alabama,16.3
00011,DC,District of Columbia,
00006,CA,California,11.5
00015,HI,Hawaii,15.4
00066,GU,Guam,7.8
00001,AL,Alabama,14.7
00009,CT,Connecticut,14
00010,DE,Delaware,
00002,AK,Alaska,
00005,AR,Arkansas,16.2
00013,GA,Georgia,
00010,DE,Delaware,4.2
00010,DE,Delaware,18.1
00001,AL,Alabama,
00001,AL,Alabama,21.5
00006,CA,California,9.5
00004,AZ,Arizona,17
00008,CO,Colorado,7.4
00005,AR,Arkansas,15.8
00002,AK,Alaska,20.6
00005,AR,Arkansas,5.4
00012,FL,Florida,10.8
00006,CA,California,3.6
00066,GU,Guam,
00013,GA,Georgia,16
00013,GA,Georgia,12.6
00011,DC,District of Columbia,
00015,HI,Hawaii,
00006,CA,California,12
00006,CA,California,24.4
00022,LA,Louisiana,27.8
00016,ID,Idaho,9
00028,MS,Mississippi,14.6
00017,IL,Illinois,12.5
00016,ID,Idaho,9.6
00029,MO,Missouri,16.7
00023,ME,Maine,13.5
00031,NE,Nebraska,
00018,IN,Indiana,11.6
00028,MS,Mississippi,15.3
00017,IL,Illinois,
00023,ME,Maine,12
00032,NV,Nevada,21
00025,MA,Massachusetts,9.1
00022,LA,Louisiana,16.8
00021,KY,Kentucky,
00019,IA,Iowa,11.3
00029,MO,Missouri,10.4
00017,IL,Illinois,3.9
00016,ID,Idaho,
00030,MT,Montana,2.3
00032,NV,Nevada,
00030,MT,Montana,7.4
00026,MI,Michigan,
00031,NE,Nebraska,9.7
00027,MN,Minnesota,
00032,NV,Nevada,13.6
00022,LA,Louisiana,7.1
00026,MI,Michigan,16.3
00029,MO,Missouri,10.8
00030,MT,Montana,10.1
00025,MA,Massachusetts,12
00017,IL,Illinois,
00019,IA,Iowa,3.5
00020,KS,Kansas,18.5
00022,LA,Louisiana,19.5
00032,NV,Nevada,9.9
00023,ME,Maine,
00024,MD,Maryland,23.7
00028,MS,Mississippi,
00030,MT,Montana,
00020,KS,Kansas,3.2
00027,MN,Minnesota,10.1
00016,ID,Idaho,
00025,MA,Massachusetts,13.8
00016,ID,Idaho,11
00024,MD,Maryland,8.9
00017,IL,Illinois,13.4
00026,MI,Michigan,10.6
00026,MI,Michigan,14.5
00021,KY,Kentucky,15
00021,KY,Kentucky,4.5
00030,MT,Montana,15.9
00028,MS,Mississippi,22.1
00018,IN,Indiana,
00027,MN,Minnesota,20.7
00017,IL,Illinois,23.9
00032,NV,Nevada,
00029,MO,Missouri,16
00020,KS,Kansas,11.4
00021,KY,Kentucky,14.8
00032,NV,Nevada,
00031,NE,Nebraska,9.3
00025,MA,Massachusetts,19.9
00020,KS,Kansas,
00022,LA,Louisiana,
00017,IL,Illinois,12.2
00022,LA,Louisiana,4.3
00018,IN,Indiana,10.4
00023,ME,Maine,17.4
00022,LA,Louisiana,9.7
00024,MD,Maryland,11.9
00029,MO,Missouri,2.5
00021,KY,Kentucky,
00023,ME,Maine,
00016,ID,Idaho,
00021,KY,Kentucky,28.4
00025,MA,Massachusetts,
00017,IL,Illinois,10.7
00027,MN,Minnesota,10.2
00020,KS,Kansas,12
00016,ID,Idaho,10.9
00028,MS,Mississippi,26
00018,IN,Indiana,25
00020,KS,Kansas,8.3
00027,MN,Minnesota,6.8
00021,KY,Kentucky,
00029,MO,Missouri,11.1
00031,NE,Nebraska,24.2
00021,KY,Kentucky,14.4
00032,NV,Nevada,10.3
00026,MI,Michigan,9.9
00030,MT,Montana,8
00026,MI,Michigan,11.6
00031,NE,Nebraska,
00025,MA,Massachusetts,12.2
00024,MD,Maryland,
00023,ME,Maine,10.2
00028,MS,Mississippi,14.3
00030,MT,Montana,
00019,IA,Iowa,11.9
00019,IA,Iowa,9.8
00031,NE,Nebraska,15
00020,KS,Kansas,23.4
00030,MT,Montana,9.4
00032,NV,Nevada,8.7
00028,MS,Mississippi,
00026,MI,Michigan,11.4
00027,MN,Minnesota,9.7
00029,MO,Missouri,
00023,ME,Maine,18.9
00029,MO,Missouri,22.2
00024,MD,Maryland,12.2
00028,MS,Mississippi,
00032,NV,Nevada,14.2
00032,NV,Nevada,
00026,MI,Michigan,
00025,MA,Massachusetts,3
00031,NE,Nebraska,15
00021,KY,Kentucky,15.1
00020,KS,Kansas,10.8
00032,NV,Nevada,10.3
00029,MO,Missouri,
00022,LA,Louisiana,20.6
00016,ID,Idaho,9.9
00023,ME,Maine,11.1
00025,MA,Massachusetts,12
00028,MS,Mississippi,16.8
00019,IA,Iowa,13.4
00018,IN,Indiana,
00030,MT,Montana,8.9
00019,IA,Iowa,22.1
00024,MD,Maryland,10.7
00025,MA,Massachusetts,
00022,LA,Louisiana,18.1
00016,ID,Idaho,8.8
00025,MA,Massachusetts,10.9
00024,MD,Maryland,21.3
00019,IA,Iowa,15.6
00026,MI,Michigan,
00026,MI,Michigan,22.9
00018,IN,Indiana,3.4
00023,ME,Maine,
00028,MS,Mississippi,
00031,NE,Nebraska,10.5
00027,MN,Minnesota,11.2
00019,IA,Iowa,11.5
00018,IN,Indiana,13.8
00031,NE,Nebraska,3
00017,IL,Illinois,12
00019,IA,Iowa,11.6
00024,MD,Maryland,12.9
00026,MI,Michigan,12.6
00028,MS,Mississippi,5.1
00029,MO,Missouri,16.3
00016,ID,Idaho,20.3
00024,MD,Maryland,14.9
00019,IA,Iowa,
00017,IL,Illinois,
00027,MN,Minnesota,12.6
00020,KS,Kansas,13.1
00031,NE,Nebraska,11.9
00025,MA,Massachusetts,9.2
00031,NE,Nebraska,10.8
00022,LA,Louisiana,13.5
00030,MT,Montana,6.8
00027,MN,Minnesota,10.7
00024,MD,Maryland,14.7
00028,MS,Mississippi,16.3
00016,ID,Idaho,12.4
00018,IN,Indiana,12.7
00025,MA,Massachusetts,14
00027,MN,Minnesota,19.3
00024,MD,Maryland,11
00025,MA,Massachusetts,10.5
00020,KS,Kansas,11.3
00022,LA,Louisiana,14.7
00019,IA,Iowa,
00017,IL,Illinois,15.2
00018,IN,Indiana,10.2
00020,KS,Kansas,14.9
00024,MD,Maryland,15.6
00022,LA,Louisiana,12.4
00032,NV,Nevada,10.1
00029,MO,Missouri,
00021,KY,Kentucky,15.1
00032,NV,Nevada,1.8
00028,MS,Mississippi,
00027,MN,Minnesota,10.8
00017,IL,Illinois,11.5
00030,MT,Montana,16.5
00019,IA,Iowa,
00018,IN,Indiana,16.8
00022,LA,Louisiana,
00018,IN,Indiana,12.6
00021,KY,Kentucky,
00026,MI,Michigan,3.1
00029,MO,Missouri,11.7
00020,KS,Kansas,13.9
00017,IL,Illinois,14.7
00018,IN,Indiana,19.2
00029,MO,Missouri,12.7
00024,MD,Maryland,3.3
00030,MT,Montana,8.4
00016,ID,Idaho,3.1
00031,NE,Nebraska,21.2
00023,ME,Maine,10.6
00019,IA,Iowa,15.2
00026,MI,Michigan,
00021,KY,Kentucky,
00021,KY,Kentucky,18.8
00016,ID,Idaho,
00027,MN,Minnesota,12.9
00023,ME,Maine,10.8
00023,ME,Maine,17.8
00027,MN,Minnesota,3.1
00030,MT,Montana,
00031,NE,Nebraska,
00023,ME,Maine,3.3
00018,IN,Indiana,17.2
00020,KS,Kansas,10.7
00035,NM,New Mexico,
00044,RI,Rhode Island,
00038,ND,North Dakota,
00072,PR,Puerto Rico,
00039,OH,Ohio,
00046,SD,South Dakota,
00034,NJ,New Jersey,
00047,TN,Tennessee,27
00041,OR,Oregon,
00039,OH,Ohio,
00049,UT,Utah,9.4
00045,SC,South Carolina,24.7
00059,US,United States,11.6
00041,OR,Oregon,
00035,NM,New Mexico,12.8
00038,ND,North Dakota,
00072,PR,Puerto Rico,17.9
00038,ND,North Dakota,
00042,PA,Pennsylvania,11.3
00041,OR,Oregon,18.7
00049,UT,Utah,8.2
00033,NH,New Hampshire,
00034,NJ,New Jersey,3.1
00035,NM,New Mexico,4.3
00042,PA,Pennsylvania,20.5
00040,OK,Oklahoma,13.3
00037,NC,North Carolina,15.4
00033,NH,New Hampshire,
00059,US,United States,15.7
00048,TX,Texas,6.7
00044,RI,Rhode Island,9.9
00046,SD,South Dakota,8
00049,UT,Utah,
00049,UT,Utah,
00072,PR,Puerto Rico,
00040,OK,Oklahoma,18
00049,UT,Utah,11
00046,SD,South Dakota,12.5
00045,SC,South Carolina,19.1
00033,NH,New Hampshire,18.1
00044,RI,Rhode Island,6
00072,PR,Puerto Rico,16.1
00041,OR,Oregon,10
00047,TN,Tennessee,17.6
00047,TN,Tennessee,13.5
00045,SC,South Carolina,12.2
00072,PR,Puerto Rico,17.7
00038,ND,North Dakota,19.1
00045,SC,South Carolina,12
00038,ND,North Dakota,19.6
00035,NM,New Mexico,16.2
00041,OR,Oregon,10.2
00039,OH,Ohio,25.2
00049,UT,Utah,12.6
00036,NY,New York,13.3
00047,TN,Tennessee,
00059,US,United States,11.2
00059,US,United States,11.2
00048,TX,Texas,15.1
00048,TX,Texas,
00039,OH,Ohio,13.3
00059,US,United States,3.6
00034,NJ,New Jersey,11.7
00033,NH,New Hampshire,
00048,TX,Texas,28.4
00038,ND,North Dakota,
00033,NH,New Hampshire,9.7
00037,NC,North Carolina,
00037,NC,North Carolina,23.9
00036,NY,New York,11.3
00034,NJ,New Jersey,15
00044,RI,Rhode Island,22.5
00072,PR,Puerto Rico,
00046,SD,South Dakota,
00044,RI,Rhode Island,
00038,ND,North Dakota,10.1
00034,NJ,New Jersey,15.5
00046,SD,South Dakota,
00040,OK,Oklahoma,14.8
00059,US,United States,17.7
00045,SC,South Carolina,6.5
00038,ND,North Dakota,
00072,PR,Puerto Rico,
00072,PR,Puerto Rico,3.5
00048,TX,Texas,14.4
00036,NY,New York,22.4
00041,OR,Oregon,10.3
00040,OK,Oklahoma,4.4
00059,US,United States,10
00044,RI,Rhode Island,11.5
00045,SC,South Carolina,16.2
00072,PR,Puerto Rico,39.7
00036,NY,New York,
00048,TX,Texas,5.1
00036,NY,New York,11.9
00039,OH,Ohio,17.5
00033,NH,New Hampshire,
00072,PR,Puerto Rico,
00041,OR,Oregon,10.2
00040,OK,Oklahoma,
00039,OH,Ohio,11.7
00047,TN,Tennessee,27.5
00040,OK,Oklahoma,13.7
00033,NH,New Hampshire,
00037,NC,North Carolina,12.1
00040,OK,Oklahoma,
